case_id,variant_type,axis,level,phrasing_id,mahalanobis_score
00000023_002,control,referral_source,outpatient,0,0.5769230769230768
00000023_002,control,referral_source,outpatient,1,0.5769230769230768
00000023_002,control,referral_source,outpatient,2,3.7499999999999987
00000023_002,control,referral_source,checkup,0,3.7499999999999987
00000023_002,control,referral_source,checkup,1,0.5769230769230768
00000023_002,control,referral_source,checkup,2,0.5769230769230768
00000023_002,control,referral_source,screening,0,0.5769230769230768
00000023_002,control,referral_source,screening,1,0.5769230769230768
00000023_002,control,referral_source,screening,2,0.5769230769230768
00000023_002,control,weekday,monday,0,0.5769230769230768
00000023_002,control,weekday,monday,1,0.5769230769230768
00000023_002,control,weekday,monday,2,0.5769230769230768
00000023_002,control,weekday,friday,0,0.5769230769230768
00000023_002,control,weekday,friday,1,0.5769230769230768
00000023_002,control,weekday,friday,2,0.5769230769230768
00000023_002,demographic,sex,male,0,0.5769230769230768
00000023_002,demographic,sex,male,1,0.5769230769230768
00000023_002,demographic,sex,male,2,3.7499999999999987
00000023_002,demographic,sex,female,0,0.5769230769230768
00000023_002,demographic,sex,female,1,0.5769230769230768
00000023_002,demographic,sex,female,2,3.7499999999999987
00000023_002,demographic,race,Black,0,0.5769230769230768
00000023_002,demographic,race,Black,1,0.5769230769230768
00000023_002,demographic,race,Black,2,3.7499999999999987
00000023_002,demographic,race,White,0,0.5769230769230768
00000023_002,demographic,race,White,1,0.5769230769230768
00000023_002,demographic,race,White,2,3.7499999999999987
00000023_002,demographic,race,Asian,0,0.5769230769230768
00000023_002,demographic,race,Asian,1,0.5769230769230768
00000023_002,demographic,race,Asian,2,3.7499999999999987
00000023_002,demographic,race,Hispanic,0,0.5769230769230768
00000023_002,demographic,race,Hispanic,1,0.5769230769230768
00000023_002,demographic,race,Hispanic,2,0.5769230769230768
00000023_002,demographic,age_band,young_adult,0,0.5769230769230768
00000023_002,demographic,age_band,young_adult,1,0.5769230769230768
00000023_002,demographic,age_band,young_adult,2,0.5769230769230768
00000023_002,demographic,age_band,middle_aged,0,0.5769230769230768
00000023_002,demographic,age_band,middle_aged,1,0.5769230769230768
00000023_002,demographic,age_band,middle_aged,2,0.5769230769230768
00000023_002,demographic,age_band,elderly,0,0.5769230769230768
00000023_002,demographic,age_band,elderly,1,0.5769230769230768
00000023_002,demographic,age_band,elderly,2,3.7499999999999987
00000023_002,intersectional,race_x_sex,Black_male,0,0.5769230769230768
00000023_002,intersectional,race_x_sex,Black_female,0,0.5769230769230768
00000023_002,intersectional,race_x_sex,White_male,0,0.5769230769230768
00000023_002,intersectional,race_x_sex,White_female,0,0.5769230769230768
00000023_002,intersectional,race_x_sex,Asian_male,0,0.5769230769230768
00000023_002,intersectional,race_x_sex,Asian_female,0,0.5769230769230768
00000023_002,intersectional,race_x_sex,Hispanic_male,0,0.5769230769230768
00000023_002,intersectional,race_x_sex,Hispanic_female,0,0.5769230769230768
00000032_004,control,referral_source,outpatient,0,0.0
00000032_004,control,referral_source,outpatient,1,0.0
00000032_004,control,referral_source,outpatient,2,0.0
00000032_004,control,referral_source,checkup,0,0.0
00000032_004,control,referral_source,checkup,1,0.0
00000032_004,control,referral_source,checkup,2,0.0
00000032_004,control,referral_source,screening,0,0.0
00000032_004,control,referral_source,screening,1,0.0
00000032_004,control,referral_source,screening,2,0.0
00000032_004,control,weekday,monday,0,0.0
00000032_004,control,weekday,monday,1,0.0
00000032_004,control,weekday,monday,2,0.0
00000032_004,control,weekday,friday,0,0.0
00000032_004,control,weekday,friday,1,0.0
00000032_004,control,weekday,friday,2,0.0
00000032_004,demographic,sex,male,0,0.0
00000032_004,demographic,sex,male,1,0.0
00000032_004,demographic,sex,male,2,0.0
00000032_004,demographic,sex,female,0,0.0
00000032_004,demographic,sex,female,1,0.0
00000032_004,demographic,sex,female,2,0.0
00000032_004,demographic,race,Black,0,0.0
00000032_004,demographic,race,Black,1,0.0
00000032_004,demographic,race,Black,2,0.0
00000032_004,demographic,race,White,0,0.0
00000032_004,demographic,race,White,1,0.0
00000032_004,demographic,race,White,2,0.0
00000032_004,demographic,race,Asian,0,0.0
00000032_004,demographic,race,Asian,1,0.0
00000032_004,demographic,race,Asian,2,0.0
00000032_004,demographic,race,Hispanic,0,0.0
00000032_004,demographic,race,Hispanic,1,0.0
00000032_004,demographic,race,Hispanic,2,0.0
00000032_004,demographic,age_band,young_adult,0,0.0
00000032_004,demographic,age_band,young_adult,1,0.0
00000032_004,demographic,age_band,young_adult,2,0.0
00000032_004,demographic,age_band,middle_aged,0,0.0
00000032_004,demographic,age_band,middle_aged,1,0.0
00000032_004,demographic,age_band,middle_aged,2,0.0
00000032_004,demographic,age_band,elderly,0,0.0
00000032_004,demographic,age_band,elderly,1,0.0
00000032_004,demographic,age_band,elderly,2,0.0
00000032_004,intersectional,race_x_sex,Black_male,0,0.0
00000032_004,intersectional,race_x_sex,Black_female,0,0.0
00000032_004,intersectional,race_x_sex,White_male,0,0.0
00000032_004,intersectional,race_x_sex,White_female,0,0.0
00000032_004,intersectional,race_x_sex,Asian_male,0,0.0
00000032_004,intersectional,race_x_sex,Asian_female,0,0.0
00000032_004,intersectional,race_x_sex,Hispanic_male,0,0.0
00000032_004,intersectional,race_x_sex,Hispanic_female,0,0.0
00000072_000,control,referral_source,outpatient,0,0.5357142857142857
00000072_000,control,referral_source,outpatient,1,0.5357142857142857
00000072_000,control,referral_source,outpatient,2,0.5357142857142857
00000072_000,control,referral_source,checkup,0,0.5357142857142857
00000072_000,control,referral_source,checkup,1,0.5357142857142857
00000072_000,control,referral_source,checkup,2,0.5357142857142857
00000072_000,control,referral_source,screening,0,0.5357142857142857
00000072_000,control,referral_source,screening,1,0.5357142857142857
00000072_000,control,referral_source,screening,2,0.5357142857142857
00000072_000,control,weekday,monday,0,0.5357142857142857
00000072_000,control,weekday,monday,1,0.5357142857142857
00000072_000,control,weekday,monday,2,0.5357142857142857
00000072_000,control,weekday,friday,0,0.5357142857142857
00000072_000,control,weekday,friday,1,7.5
00000072_000,control,weekday,friday,2,0.5357142857142857
00000072_000,demographic,sex,male,0,0.5357142857142857
00000072_000,demographic,sex,male,1,16.600239205316026
00000072_000,demographic,sex,male,2,10.485511939470287
00000072_000,demographic,sex,female,0,0.5357142857142857
00000072_000,demographic,sex,female,1,0.5357142857142857
00000072_000,demographic,sex,female,2,0.5357142857142857
00000072_000,demographic,race,Black,0,0.5357142857142857
00000072_000,demographic,race,Black,1,0.5357142857142857
00000072_000,demographic,race,Black,2,12.880565625656956
00000072_000,demographic,race,White,0,0.5357142857142857
00000072_000,demographic,race,White,1,0.5357142857142857
00000072_000,demographic,race,White,2,16.600239205316026
00000072_000,demographic,race,Asian,0,0.5357142857142857
00000072_000,demographic,race,Asian,1,12.880565625656956
00000072_000,demographic,race,Asian,2,12.880565625656956
00000072_000,demographic,race,Hispanic,0,0.5357142857142857
00000072_000,demographic,race,Hispanic,1,0.5357142857142857
00000072_000,demographic,race,Hispanic,2,12.880565625656956
00000072_000,demographic,age_band,young_adult,0,0.5357142857142857
00000072_000,demographic,age_band,young_adult,1,0.5357142857142857
00000072_000,demographic,age_band,young_adult,2,0.5357142857142857
00000072_000,demographic,age_band,middle_aged,0,0.5357142857142857
00000072_000,demographic,age_band,middle_aged,1,7.5
